iter	Logloss
0	0.6927323843
1	0.6922564348
2	0.6917592057
3	0.691215291
4	0.690693463
5	0.690266486
6	0.6897970972
7	0.6893583722
8	0.6889090499
9	0.6884930107
10	0.688062798
11	0.6875015264
12	0.6870463633
13	0.6866480798
14	0.6862150113
15	0.6858426161
16	0.6854320193
17	0.6849350579
18	0.6844532012
19	0.6840096949
20	0.6835895637
21	0.6831053907
22	0.6826334475
23	0.6822337427
24	0.681775145
25	0.6813221301
26	0.680846663
27	0.680350825
28	0.6799713248
29	0.6795738853
30	0.6791582733
31	0.6786476864
32	0.6781338591
33	0.677651443
34	0.6772720218
35	0.6768435284
36	0.6763287838
37	0.6759502722
38	0.6755241021
39	0.6751352839
40	0.6747323397
41	0.6742696789
42	0.6738867544
43	0.673470572
44	0.6729968603
45	0.6725472256
46	0.6720413808
47	0.6716611894
48	0.671181608
49	0.6707682783
50	0.6703608468
51	0.6700153185
52	0.6696505429
53	0.669189972
54	0.6688487311
55	0.6684430411
56	0.668041125
57	0.6676932572
58	0.6672517326
59	0.6667716595
60	0.6663061182
61	0.6658631422
62	0.6653931343
63	0.6649155476
64	0.6645506134
65	0.6640801932
66	0.66359545
67	0.6631607694
68	0.6627563888
69	0.6623258397
70	0.6619758012
71	0.6616496461
72	0.6613012981
73	0.6608771317
74	0.6604128936
75	0.6600207148
76	0.65962811
77	0.6592250433
78	0.6588679179
79	0.6584433118
80	0.6580561207
81	0.6576959582
82	0.6573357149
83	0.6569521501
84	0.6566016487
85	0.6561821398
86	0.6557779251
87	0.655395768
88	0.6550416441
89	0.654644924
90	0.6541898433
91	0.6538252422
92	0.6534919363
93	0.6530969768
94	0.6527652738
95	0.6524092723
96	0.6520682612
97	0.6517460813
98	0.6513284792
99	0.6509024702
100	0.6504818545
101	0.6501122047
102	0.6497136551
103	0.6493633275
104	0.6489709717
105	0.6486409559
106	0.6482189206
107	0.6478854119
108	0.647548474
109	0.6471480333
110	0.6467836414
111	0.646335842
112	0.6459542109
113	0.6455844562
114	0.6452766679
115	0.6448628476
116	0.6445475733
117	0.644215574
118	0.6438391545
119	0.6434496493
120	0.64303754
121	0.6425910911
122	0.6421794643
123	0.6418691755
124	0.6414934536
125	0.641129157
126	0.6408078723
127	0.6404411907
128	0.6400160178
129	0.6396003168
130	0.6392787422
131	0.6388778967
132	0.6385498498
133	0.6381657408
134	0.6378409751
135	0.6375234926
136	0.637230072
137	0.6369288429
138	0.6365136878
139	0.63619252
140	0.6358747704
141	0.6355045152
142	0.6351466935
143	0.6348153544
144	0.6345243212
145	0.6341988618
146	0.6338807045
147	0.6336019699
148	0.6332183056
149	0.6328820068
150	0.6325201694
151	0.632102493
152	0.631811926
153	0.6314305425
154	0.631042807
155	0.6307659739
156	0.6304668347
157	0.6300513862
158	0.6297651552
159	0.6293826595
160	0.628970602
161	0.6286326171
162	0.6282927324
163	0.6279872116
164	0.6276157266
165	0.6272541833
166	0.6269503094
167	0.6266544434
168	0.626276899
169	0.6259426575
170	0.6256359265
171	0.6252744138
172	0.6249971119
173	0.6246580155
174	0.6242742728
175	0.623906278
176	0.6236067997
177	0.6232303024
178	0.6229388112
179	0.6226246045
180	0.6222949025
181	0.6220025789
182	0.6216519015
183	0.6213026055
184	0.6209617458
185	0.6206717011
186	0.6203232909
187	0.6199950175
188	0.6197273402
189	0.6193255643
190	0.6190597068
191	0.6187683311
192	0.618414142
193	0.6180629419
194	0.6177416043
195	0.6174816325
196	0.6171532964
197	0.6168971407
198	0.6165793988
199	0.6162665609
200	0.6159920357
201	0.6156148067
202	0.6152568112
203	0.6148951671
204	0.6145969249
205	0.6143307881
206	0.6139927647
207	0.6137364866
208	0.6133310425
209	0.6129488031
210	0.6126678342
211	0.6123984563
212	0.6121212509
213	0.6117810869
214	0.6115206171
215	0.611218525
216	0.6109041839
217	0.6105913139
218	0.6102466135
219	0.6099816569
220	0.6097018395
221	0.609453148
222	0.6091406014
223	0.6088772614
224	0.6086216472
225	0.6083001707
226	0.6080059502
227	0.6076986382
228	0.6074352109
229	0.6071759847
230	0.60691292
231	0.6066508706
232	0.6063749336
233	0.6061119425
234	0.6058716601
235	0.6055446591
236	0.6052896476
237	0.6049725236
238	0.6047221125
239	0.6044233742
240	0.6041859963
241	0.6038906755
242	0.6035539599
243	0.6031932901
244	0.6029195007
245	0.6026314946
246	0.602370381
247	0.6020874086
248	0.6018541496
249	0.6016172212
250	0.6013717161
251	0.6011331609
252	0.6008566683
253	0.6005870205
254	0.6003087317
255	0.5999664362
256	0.59966072
257	0.5993731535
258	0.5990148998
259	0.5987794823
260	0.5985495227
261	0.598309065
262	0.598066559
263	0.597823491
264	0.5975355369
265	0.5972232113
266	0.5969944636
267	0.5967306289
268	0.5963958442
269	0.5961567697
270	0.5958419876
271	0.5956074052
272	0.5953720504
273	0.595066895
274	0.5948476371
275	0.5946187633
276	0.5942902955
277	0.5940621644
278	0.593733721
279	0.5934681198
280	0.5931874496
281	0.5929466454
282	0.5926262848
283	0.5923305095
284	0.5920181075
285	0.5917880823
286	0.5915675596
287	0.5912645142
288	0.5909809496
289	0.5907069651
290	0.5904475745
291	0.5901174593
292	0.5897975885
293	0.5895625198
294	0.5893495273
295	0.5891022569
296	0.5888381516
297	0.5885362849
298	0.5883006149
299	0.5880797586
